0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,temp (K),norm_avg (1e44 cm^-5),norm_log_avg (1e44 cm^-5)
8.406e-17,1.4899e-16,1.3966e-16,6.3046e-17,1.706e-16,2.7241e-16,4.1144e-16,5.1306e-16,3.8865e-16,3.6933e-16,2.797e-16,3.4859e-16,2.1436e-16,3.0734e-16,1.4497e-16,1.2795e-16,2.4099e-16,2.8274e-16,1.6306e-16,2.8509e-16,6.044e-16,2.9286e-15,2.0697e-15,2.0048e-15,3.1015e-15,2.4586e-15,1.5483e-15,1.6216e-15,1.9151e-15,1.1295e-15,1.813e-15,2.5696e-15,2.6413e-15,1.8752e-15,1.2597e-15,2.4522e-15,3.0067e-15,3.5579e-15,7.9589e-16,6891930.0,1.1361442564102565e-15,6.342183316699699e-16
5.1161e-16,6.4894e-16,7.6705e-16,7.6353e-16,7.1896e-16,8.4442e-16,6.8605e-16,5.5467e-16,7.3201e-16,8.1227e-16,9.139e-16,4.7722e-16,3.4165e-16,1.0027e-15,1.9533e-15,1.2899e-15,2.9554e-15,4.5475e-15,4.4907e-15,7.5507e-15,8.4706e-15,7.6012e-15,8.1054e-15,7.2417e-15,6.9336e-15,7.8664e-15,8.0863e-15,9.4879e-15,8.9661e-15,9.1482e-15,9.7168e-15,9.7472e-15,8.9877e-15,1.0306e-14,1.0717e-14,9.6487e-15,9.7943e-15,8.5221e-15,3.4305e-15,8405250.0,5.008722564102564e-15,2.9662556359019053e-15
9.324e-16,9.2524e-16,9.4489e-16,1.4094e-15,1.2479e-15,1.0424e-15,1.2196e-15,1.1742e-15,1.4573e-15,1.5767e-15,2.0994e-15,2.4299e-15,3.7541e-15,5.2145e-15,6.8069e-15,9.0335e-15,9.8515e-15,1.0393e-14,1.1259e-14,8.3431e-15,8.2362e-15,7.7193e-15,7.6302e-15,7.2624e-15,7.5225e-15,6.6504e-15,7.1728e-15,6.3746e-15,6.541e-15,6.6011e-15,5.8368e-15,4.7625e-15,5.3365e-15,5.121e-15,5.0249e-15,4.6969e-15,3.9509e-15,4.0422e-15,5.9045e-15,10250700.0,5.0641443589743604e-15,3.966687114856302e-15
3.9276e-16,5.8777e-16,9.0664e-16,1.0205e-15,1.5447e-15,2.1836e-15,2.5542e-15,2.9836e-15,3.5797e-15,4.3188e-15,5.2482e-15,6.2607e-15,6.2564e-15,6.7337e-15,6.3728e-15,5.8987e-15,4.7711e-15,3.7426e-15,3.7579e-15,4.1737e-15,3.9024e-15,3.2614e-15,2.9999e-15,3.7245e-15,2.7199e-15,2.6983e-15,2.5929e-15,2.0068e-15,2.1398e-15,2.246e-15,1.9202e-15,2.1078e-15,1.719e-15,1.5439e-15,1.1503e-15,1.3233e-15,1.1427e-15,1.1886e-15,2.4204e-15,12501500.0,2.9768248717948724e-15,2.4707478187848e-15
6.5948e-17,1.3395e-16,2.4114e-16,4.4022e-16,6.3906e-16,7.7072e-16,1.1979e-15,1.3706e-15,1.8358e-15,2.5244e-15,2.496e-15,2.3498e-15,2.9075e-15,1.7435e-15,1.5271e-15,1.864e-15,1.5295e-15,1.3166e-15,1.3305e-15,1.2066e-15,7.7406e-16,9.1853e-16,7.1267e-16,6.7873e-16,6.8826e-16,6.2432e-16,4.3327e-16,4.0917e-16,5.4805e-16,4.0236e-16,4.1476e-16,4.0458e-16,4.1337e-16,2.8583e-16,2.4674e-16,1.7139e-16,2.4483e-16,2.1829e-16,7.1654e-16,15246500.0,9.435022564102565e-16,6.7709616386432e-16
6.1961e-18,2.6385e-17,7.0527e-17,8.2983e-17,2.134e-16,4.6962e-16,4.6938e-16,7.2832e-16,7.4961e-16,6.5102e-16,7.8893e-16,4.7264e-16,3.6006e-16,3.9376e-16,4.0628e-16,2.3789e-16,2.8977e-16,4.0776e-16,2.2646e-16,1.5787e-16,1.6951e-16,1.6924e-16,1.3305e-16,6.7566e-17,4.1128e-17,5.3023e-17,2.6661e-17,4.2703e-17,6.1613e-17,3.4e-17,4.6616e-17,8.1337e-17,4.0147e-17,2.1015e-17,9.0725e-18,1.4822e-17,1.0007e-17,4.3623e-17,1.5299e-16,18594100.0,2.1607652820512816e-16,1.0875909051568655e-16
3.5906e-18,4.1314e-18,6.7953e-18,1.2608e-18,4.8404e-17,4.062e-17,6.6272e-17,1.5761e-16,1.9885e-16,1.1956e-16,9.8325e-17,5.3638e-17,5.2006e-17,9.4883e-17,5.7498e-17,2.6026e-17,5.3252e-17,1.0267e-16,1.3304e-17,2.1475e-17,3.1107e-17,2.9627e-17,1.0842e-17,4.0173e-18,1.0793e-17,1.2567e-17,5.9178e-18,0.0,1.7833e-17,1.9017e-18,2.351e-18,6.4353e-18,1.0266e-17,0.0,1.9927e-18,0.0,0.0,0.0,2.9535e-17,22676700.0,3.577838205128204e-17,1.9472822038627805e-17
1.2146e-18,1.9595e-18,2.8345e-18,0.0,3.0066e-18,1.2088e-17,1.2359e-17,1.4552e-17,2.3144e-17,1.8437e-17,1.2015e-17,1.0998e-17,0.0,3.3627e-17,1.3398e-17,6.3517e-18,1.4727e-17,2.8492e-17,0.0,0.0,0.0,7.0649e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0399e-18,2.5896e-18,0.0,0.0,0.0,0.0,0.0,1.1281e-18,27656100.0,5.692984615384616e-18,7.08306656353936e-18
4.7654e-19,0.0,4.8977e-19,0.0,0.0,2.3331e-18,1.7014e-18,1.5784e-17,1.5539e-17,8.1737e-18,0.0,0.0,5.4891e-18,0.0,5.3103e-18,0.0,0.0,7.715e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1703e-18,0.0,2.1631e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1198e-18,33728800.0,1.832438717948718e-18,3.2521287580269093e-18
0.0,0.0,0.0,0.0,0.0,0.0,4.5708e-18,0.0,2.5334e-18,0.0,2.2885e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41134400.0,2.4083846153846154e-19,1.5894365165143613e-18
