,JD,cts/sec
288,2459866.5092643998,21298.005859375
289,2460010.032901331,72350.0703125
290,2460039.562027647,26063.77734375
291,2460089.547882865,33523.3046875
292,2460091.514827357,35695.359375
293,2460100.004779115,97008.6875
294,2460100.0649917587,63964.66796875
295,2460101.535884837,44091.84375
296,2460101.542955101,57706.33203125
297,2460101.9787330725,45206.1171875
298,2460102.0414589783,42642.92578125
299,2460102.042631269,41592.1796875
300,2460103.031532133,102519.984375
301,2460105.5581845213,34680.20703125
302,2460106.539899935,41780.7890625
303,2460106.5481332145,40229.4921875
304,2460117.5572001035,61177.09375
305,2460141.5365153127,48211.54296875
306,2460141.543119819,50443.140625
307,2460143.033222367,64176.53515625
308,2460144.5648223264,50987.2265625
309,2460146.5507851667,46011.671875
310,2460151.5547243645,80755.3984375
311,2460153.047253021,57831.3046875
312,2460153.5316299573,125330.7578125
313,2460154.0358502315,57974.16796875
314,2460154.5211181627,48617.76171875
315,2460157.55259331,76608.3125
316,2460158.5381533066,98169.7109375
317,2460158.5445212233,85906.53125
318,2460163.0602552895,48221.15234375
319,2460164.0491464837,61197.2265625
320,2460164.5439486345,81227.484375
321,2460165.038088916,40437.53515625
322,2460166.0253952085,39855.94921875
323,2460166.577096294,40428.203125
324,2460166.5836615586,37623.11328125
325,2460167.013598171,41298.00390625
326,2460174.5523284567,29982.716796875
327,2460184.5495919115,26467.13671875
328,2460185.529956762,32984.07421875
329,2460195.53159274,37066.22265625
330,2460207.534228608,41516.5859375
331,2460207.5439289403,42596.4375
332,2460208.037098336,37997.63671875
333,2460208.0428046845,37036.4453125
334,2460226.008095823,36521.89453125
335,2460227.5526513364,64178.21484375
336,2460241.5114411116,23086.21484375
337,2460241.5731598437,21732.29296875
